Longitude Latitude "negative depth"
-151.0522  60.2558  -67.9800
-151.1827  62.5875  -87.5500
-152.2648  59.6845  -69.1200
-153.1638  60.4243 -145.1800
-151.2891  61.4485  -83.9700
-151.1060  62.3379  -98.9500
-150.4836  62.0563  -73.2300
-148.2546  61.5262  -36.8000
-149.7344  61.7575  -43.9000
-153.1249  60.1871 -124.9500
-150.5589  61.9350  -54.9800
-150.8147  62.8907 -102.1800
-151.5736  62.2021 -109.4100
-150.3648  63.3151 -149.0900
-147.9925  62.5601  -55.5200
-150.5833  63.1972 -137.9800
-153.2214  60.3283 -158.1800
-149.5945  62.8077  -78.2800
-151.6042  61.8657  -90.9900
-152.5811  59.2602  -77.0900
-150.9198  61.6521  -68.6900
-149.1343  62.5853  -59.1900
-152.8678  60.2088 -121.4300
-149.9505  61.6698  -52.6500
-153.0035  60.0569 -108.5200
-149.5428  62.3172  -55.7500
-151.8272  61.6937  -95.1600
-150.6388  62.8499 -105.1700
-150.6335  62.8690 -106.8400
-152.2224  60.9242  -94.2600
-152.3375  59.9241  -74.9700
-149.5644  63.4097 -111.3400
-153.2177  60.2000 -117.9700
-151.2650  61.6446  -80.1400
-150.8059  61.8761  -68.3600
-152.5288  59.9412  -92.0800
-150.4768  63.2295 -134.7500
-151.6951  60.8095  -74.9600
-151.5661  59.4358  -44.6000
-151.5169  60.4735  -58.5200
-147.3049  62.0252  -44.9000
-150.8633  63.0448 -135.4000
-150.6077  63.0304 -126.0600
-152.8637  59.9367  -99.5200
-151.0290  62.1295  -84.1600
-150.2666  62.7494  -82.6100
-150.8830  62.2343  -76.6700
-151.5935  60.8780  -76.7300
-153.2976  59.9461 -120.1400
-149.0981  63.6257 -113.7700
-150.4824  63.1897 -126.5700
-148.5144  62.8233  -63.2300
-150.5219  63.1974 -138.4100
-152.7585  60.0985  -88.6600
-151.1853  61.9558  -66.9800
-150.7113  61.5846  -57.9400
-150.6628  62.0056  -53.6800
-150.6092  62.0034  -49.7200
-150.9479  61.5955  -65.2600
-153.0175  59.5231  -90.6900
-147.5372  61.8650  -38.5600
-150.7378  61.8617  -54.7900
-148.0418  63.9861 -106.3300
-152.2805  60.3895 -105.5000
-149.8074  63.4120 -117.0600
-150.4641  62.9061  -98.7000
-150.9721  61.8576  -61.6800
-150.6399  63.0166 -119.2700
-149.9515  61.8298  -39.8100
-152.5161  59.7593  -74.3900
-153.5585  59.7771 -118.9100
-150.7507  61.8240  -59.5500
-151.1008  62.4428  -91.0500
-151.6183  61.5501  -86.0800
-149.0519  61.3414  -33.3500
-152.3196  59.3626  -64.4400
-151.1966  59.8764  -55.1200
-152.8229  59.8683 -101.9200
-153.2939  59.8408 -125.7900
-151.9418  60.4924  -76.7700
-152.6003  59.4937  -67.9000
-147.4850  63.3048  -60.0600
-150.6833  61.3416  -56.1800
-149.6788  63.3294 -107.2600
-150.2045  63.3901 -143.0100
-149.3217  62.1816  -48.9900
-151.0789  62.5184  -86.8200
-149.8166  62.0051  -31.9000
-151.3931  61.0043  -64.0400
-150.9071  62.3024  -80.7700
-150.8401  62.9990 -124.8000
-150.7732  60.2031  -60.1400
-149.1312  62.9154  -68.7400
-152.6798  59.7451  -84.3900
-150.7690  61.8688  -58.1500
-151.4502  62.3205  -90.6900
-151.3698  61.6761  -69.5600
-152.7063  61.0826 -146.5100
-150.9536  60.3198  -43.0300
-152.8599  59.7730  -98.5200
-153.1419  59.6689  -99.6700
-152.2315  60.0940  -90.2200
-152.5624  59.9917 -100.2400
-152.6230  59.9833  -84.8600
-148.4772  64.0805 -127.1200
-148.6896  63.8305 -111.4200
-151.0192  62.1458  -75.0200
-149.5452  63.4987 -107.3300
-149.0159  62.8565  -70.5000
-150.8333  63.0979 -136.1800
-149.6931  62.5016  -76.5700
-149.9640  63.8545 -160.2400
-149.8388  62.7382  -72.8800
-150.9702  61.6262  -62.1500
-148.9055  62.8546  -66.3100
-147.7098  62.1741  -46.7400
-150.4073  62.6292  -78.2700
-151.4245  61.6256  -71.3800
-150.2298  61.2777  -39.3300
-150.1075  61.4714  -38.3700
-152.5249  59.4206  -75.9300
-146.2702  61.6311  -38.5600
-149.4641  62.8832  -80.1900
-147.8715  62.1519  -30.7100
-152.2384  60.4897  -81.3200
-149.7383  61.6888  -38.7100
-149.7215  63.2924 -107.5700
-151.7852  60.7018  -74.2500
-151.1454  61.8008  -68.0000
-155.4932  57.6344  -84.1800
-152.7305  59.9650  -95.0800
-150.1051  61.4810  -39.7300
-150.0430  62.0304  -49.0200
-151.0384  62.8751 -114.7400
-153.5773  59.9979 -147.5000
-151.3268  61.5183  -62.5200
-149.2182  62.9883  -81.0200
-149.4781  61.2118  -35.7400
-151.1968  61.1530  -57.0300
-149.4136  62.7728  -74.0500
-150.9000  61.7689  -59.8700
-149.5744  62.8705  -77.6800
-149.4727  61.7071  -32.4700
-150.8333  63.1125 -140.0400
-152.3470  60.3523  -89.0100
-153.4507  59.8503 -131.8400
-149.8085  62.3983  -64.4400
-152.7006  60.0529  -90.1900
-149.5980  63.1678  -97.2200
-148.0831  62.1472  -46.8300
-150.9485  61.4228  -59.1900
-152.8750  60.0700  -96.1900
-149.5545  62.4482  -59.4500
-149.1305  63.0563  -83.6000
-153.3972  59.8974 -129.4300
-149.4876  62.9187  -83.8600
-150.8132  62.8539  -96.7700
-153.0466  60.1744 -119.2000
-151.8292  60.0018  -51.6300
-149.1409  62.1038  -37.6200
-148.8138  62.3504  -45.2100
-152.3304  59.2318  -61.8600
-150.6146  63.1002 -121.6100
-152.9501  59.3993  -80.3900
-152.6920  60.2700 -103.7000
-150.6985  61.2766  -51.0500
-149.8503  61.3356  -39.7300
-150.7967  63.0500 -132.6800
-152.5897  59.6188  -83.9900
-148.1856  62.5174  -39.1300
-149.7128  63.5613 -129.9500
-151.4359  61.3322  -68.0900
-149.3831  62.6889  -79.5000
-152.7680  60.2040 -114.4700
-152.6940  60.2727 -106.4200
-152.9031  60.3396 -118.7600
-151.3850  59.8047  -46.4600
-152.3091  60.2501  -87.7600
-150.7060  63.1008 -135.8200
-152.7288  59.4810  -78.0800
-153.4446  59.8616 -124.3900
-150.2726  62.2933  -70.0700
-151.0239  61.8536  -61.7400
-150.2868  61.4825  -44.8000
-152.7719  60.0547 -102.8400
-149.7039  61.8289  -40.2800
-151.8658  60.8904  -78.3700
-150.9743  61.8097  -62.2700
-152.2277  59.9503  -73.6400
-151.0933  59.9462  -55.8700
-150.7872  62.3223  -75.7600
-150.8513  61.4785  -48.1500
-149.1579  62.9541  -73.3900
-149.6247  63.0565  -86.1300
-151.1452  61.8283  -60.7900
-152.0627  59.2462  -49.4700
-149.6561  61.6448  -33.9800
-150.4108  63.2436 -132.6000
-151.1865  62.3128  -89.4700
-150.5301  63.2250 -137.2100
-149.3563  63.0549  -86.8300
-153.6232  59.9564 -158.6500
-151.4849  62.3948  -95.5900
-151.0480  62.3479  -95.1200
-149.7133  63.1079  -97.6100
-148.8422  63.8968 -124.8900
-153.1428  59.9347 -117.6600
-152.6167  60.0353  -94.3400
-149.3683  62.4684  -59.6000
-151.8705  60.2274  -65.4700
-150.0048  61.6942  -44.3400
-154.6400  58.8275 -135.6500
-148.8515  62.0933  -42.1100
-150.5584  63.0874 -126.8300
-151.7549  60.6022  -71.1500
-151.5027  59.9617  -56.9400
-153.4211  60.0589 -155.3300
-150.7359  61.8070  -52.5000
-151.4725  60.9934  -68.7000
-150.2048  61.8660  -44.6600
-152.8877  59.5324  -90.5600
-151.2187  62.5105  -95.9100
-146.3158  61.5665  -40.2500
-151.0084  62.4931  -92.7900
-152.8405  59.7296  -87.2800
-149.8121  63.6121 -146.3200
-148.8041  62.7144  -56.5300
-152.8172  60.0246  -98.5200
-150.7231  63.1115 -134.3800
-152.1206  60.0885  -73.0700
-150.9593  60.1819  -61.5200
-150.4236  63.2401 -134.8200
-151.5546  61.9367  -79.0600
-151.6188  59.6778  -47.2400
-153.3187  59.8251 -126.3100
-153.0585  60.1824 -116.6500
-153.6683  60.0112 -156.6300
-152.6860  59.4256  -74.5500
-152.3240  60.3122  -81.1400
-150.6180  63.1640 -133.3600
-149.9898  61.0567  -40.8700
-149.7548  63.2746 -104.2600
-148.7151  62.8388  -68.6500
-153.2483  58.6308  -58.4300
-152.7971  59.4695  -91.3300
-150.3154  61.5882  -46.9000
-151.1735  62.5291  -94.9600
-152.7281  59.9183  -97.0900
-149.3765  62.2977  -55.4000
-151.2408  62.0849  -95.5600
-149.7598  61.4803  -58.2900
-152.7588  59.7075  -89.3300
-148.7790  62.8029  -67.3900
-152.8660  60.0180  -88.5100
-153.0069  59.5747  -96.2300
-152.9164  60.2628 -116.5600
-151.3962  61.5594  -80.3200
