"Date" "Time" "Latitude" "Longitude" "Depth" "Magnitude" "MagType" "NbStations" "Gap" "Distance" "RMS" "Source" "EventID"
"1950/05/25" "08:34:32.00" "65.5000" "-151.5000" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1952/03/09" "20:00:17.00" "59.1100" "-136.6800" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1952/11/22" "07:46:37.00" "35.7300" "-121.2000" "" "6.00" "ML" "" "" "" "" "BK" ""
"1952/12/04" "03:51:40.00" "52.0000" "178.2000" "128.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1954/07/06" "22:07:41.00" "39.3000" "-118.5000" "" "6.00" "ML" "" "" "" "" "BK" ""
"1954/08/05" "08:49:53.00" "51.7000" "175.8000" "60.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1955/07/19" "23:52:23.00" "56.5000" "-153.0000" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1955/07/26" "04:04:18.00" "56.6000" "-153.2000" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1955/09/13" "02:00:40.00" "52.0000" "-176.0000" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1955/10/09" "23:13:49.00" "51.3000" "177.1000" "64.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1956/08/30" "04:24:26.00" "53.8000" "-164.0200" "33.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1956/10/11" "16:48:50.00" "40.6700" "-125.7700" "" "6.00" "ML" "" "" "" "" "BK" ""
"1957/03/13" "02:48:20.15" "51.7200" "-171.2100" "33.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1957/04/04" "00:13:04.00" "58.1700" "-155.0400" "89.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1957/05/31" "22:17:09.00" "51.1900" "-179.2400" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1957/06/11" "23:53:56.00" "51.5898" "-176.0400" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1958/12/22" "02:41:29.00" "66.0000" "-147.0000" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1959/05/12" "21:59:56.00" "51.2100" "-176.9500" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1959/12/14" "22:00:51.00" "52.4500" "-168.2100" "0.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1962/05/10" "00:03:40.00" "62.0100" "-150.1100" "72.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1962/07/16" "12:54:42.00" "62.2800" "-152.4600" "47.00" "6.00" "ML" "0" "" "" "" "AK" ""
"1963/02/13" "18:13:54.90" "-9.9000" "160.7000" "30.00" "6.00" "Mb" "74" "" "" "0.00" "NEI" "1963021340"
"1963/03/31" "19:22:51.50" "-30.1000" "-178.2000" "39.00" "6.00" "Mb" "43" "" "" "0.00" "NEI" "1963033140"
"1963/04/03" "01:33:52.60" "-9.0000" "124.1000" "35.00" "6.00" "Mb" "11" "" "" "0.00" "NEI" "1963040340"
"1963/04/07" "15:27:59.40" "53.7000" "-170.0000" "174.00" "6.00" "Mb" "53" "" "" "0.00" "NEI" "1963040740"
"1963/05/10" "11:09:43.30" "-8.2000" "68.1000" "33.00" "6.00" "Mb" "10" "" "" "0.00" "NEI" "1963051040"
"1963/05/17" "04:06:39.50" "45.5000" "150.9000" "51.00" "6.00" "Mb" "80" "" "" "0.00" "NEI" "1963051740"
"1963/05/19" "10:00:05.00" "46.0000" "14.6000" "32.00" "6.00" "Mb" "44" "" "" "0.00" "NEI" "1963051940"
"1963/06/10" "06:39:04.10" "-55.2000" "146.1000" "19.00" "6.00" "Mb" "51" "" "" "0.00" "NEI" "1963061040"
"1963/06/26" "17:42:42.20" "7.0000" "-82.3000" "34.00" "6.00" "Mb" "72" "" "" "0.00" "NEI" "1963062640"
"1963/06/28" "02:28:50.70" "-27.5000" "66.0000" "28.00" "6.00" "Mb" "55" "" "" "0.00" "NEI" "1963062840"
"1963/07/14" "17:06:38.60" "-39.4000" "174.9000" "189.00" "6.00" "Mb" "17" "" "" "0.00" "NEI" "1963071440"
"1963/07/18" "04:58:09.20" "-61.0000" "-22.3000" "33.00" "6.00" "Mb" "10" "" "" "0.00" "NEI" "1963071840"
"1963/09/24" "16:30:16.00" "-10.6000" "-78.0000" "80.00" "6.00" "Mb" "51" "" "" "0.00" "NEI" "1963092440"
"1963/11/03" "03:10:12.70" "-3.5000" "-77.8000" "33.00" "6.00" "Mb" "66" "" "" "0.00" "NEI" "1963110340"
"1963/11/15" "21:06:34.00" "44.3000" "149.0000" "50.00" "6.00" "Mb" "57" "" "" "0.00" "NEI" "1963111540"
"1963/12/16" "01:51:30.60" "-6.4000" "105.4000" "64.00" "6.00" "Mb" "40" "" "" "0.00" "NEI" "1963121640"
"1963/12/16" "16:06:35.20" "-6.5000" "105.3000" "46.00" "6.00" "Mb" "11" "" "" "0.00" "NEI" "1963121640"
"1964/01/22" "23:59:43.60" "-13.7000" "165.9000" "33.00" "6.00" "Mb" "51" "" "" "0.00" "NEI" "1964012240"
