longitude latitude "negative depth"
-193.5430 55.5790 -50.0000
-193.4270 55.5310 -50.0000
-193.3100 55.4830 -50.0000
-193.1940 55.4340 -50.0000
-193.0780 55.3860 -50.0000
-192.9620 55.3380 -50.0000
-192.8460 55.2900 -50.0000
-192.7290 55.2410 -50.0000
-192.6130 55.1930 -50.0000
-192.4970 55.1450 -50.0000
-192.3810 55.0960 -50.0000
-192.2650 55.0480 -50.0000
-192.1410 54.9960 -50.0000
-192.0170 54.9440 -50.0000
-191.8930 54.8920 -50.0000
-191.7690 54.8400 -50.0000
-191.6450 54.7880 -50.0000
-191.5210 54.7360 -50.0000
-191.3970 54.6840 -50.0000
-191.2730 54.6310 -50.0000
-191.1490 54.5790 -50.0000
-191.0250 54.5270 -50.0000
-190.9010 54.4750 -50.0000
-190.7780 54.4220 -50.0000
-190.6540 54.3700 -50.0000
-190.5350 54.3180 -50.0000
-190.4150 54.2670 -50.0000
-190.2960 54.2150 -50.0000
-190.1770 54.1630 -50.0000
-190.0570 54.1120 -50.0000
-189.9380 54.0600 -50.0000
-189.8190 54.0080 -50.0000
-189.7000 53.9560 -50.0000
-189.5800 53.9050 -50.0000
-189.4610 53.8530 -50.0000
-189.3420 53.8010 -50.0000
-189.2220 53.7500 -50.0000
-189.1030 53.6980 -50.0000
-188.9830 53.6470 -50.0000
-188.8640 53.5950 -50.0000
-188.7440 53.5440 -50.0000
-188.6240 53.4930 -50.0000
-188.5040 53.4420 -50.0000
-188.3840 53.3910 -50.0000
-188.2640 53.3400 -50.0000
-188.1430 53.2900 -50.0000
-188.0220 53.2390 -50.0000
-187.9010 53.1890 -50.0000
-187.7800 53.1390 -50.0000
-187.6580 53.0890 -50.0000
-187.5360 53.0400 -50.0000
-187.4080 52.9950 -50.0000
-187.2790 52.9490 -50.0000
-187.1500 52.9040 -50.0000
-187.0210 52.8600 -50.0000
-186.8920 52.8160 -50.0000
-186.7620 52.7720 -50.0000
-186.6310 52.7290 -50.0000
-186.5010 52.6850 -50.0000
-186.3700 52.6430 -50.0000
-186.2380 52.6000 -50.0000
-186.1070 52.5580 -50.0000
-185.9750 52.5170 -50.0000
-185.8420 52.4760 -50.0000
-185.7090 52.4350 -50.0000
-185.5740 52.4030 -50.0000
-185.4380 52.3710 -50.0000
-185.3030 52.3390 -50.0000
-185.1670 52.3080 -50.0000
-185.0310 52.2770 -50.0000
-184.8950 52.2470 -50.0000
-184.7580 52.2160 -50.0000
-184.6220 52.1860 -50.0000
-184.4850 52.1560 -50.0000
-184.3480 52.1260 -50.0000
-184.2120 52.0960 -50.0000
-184.0750 52.0670 -50.0000
-183.9380 52.0370 -50.0000
-183.7970 52.0030 -50.0000
-183.6550 51.9690 -50.0000
-183.5130 51.9350 -50.0000
-183.3720 51.9010 -50.0000
-183.2300 51.8680 -50.0000
-183.0880 51.8350 -50.0000
-182.9450 51.8020 -50.0000
-182.8030 51.7690 -50.0000
-182.6600 51.7380 -50.0000
-182.5170 51.7060 -50.0000
-182.3730 51.6750 -50.0000
-182.2290 51.6450 -50.0000
-182.0840 51.6160 -50.0000
-181.9390 51.5990 -50.0000
-181.7950 51.5820 -50.0000
-181.6490 51.5670 -50.0000
-181.5040 51.5520 -50.0000
-181.3590 51.5380 -50.0000
-181.2130 51.5250 -50.0000
-181.0670 51.5120 -50.0000
-180.9210 51.5000 -50.0000
-180.7750 51.4890 -50.0000
-180.6280 51.4790 -50.0000
-180.4780 51.4810 -50.0000
-180.3280 51.4830 -50.0000
-180.1790 51.4870 -50.0000
-180.0290 51.4900 -50.0000
-179.8800 51.4950 -50.0000
-179.7310 51.5000 -50.0000
-179.5810 51.5060 -50.0000
-179.4320 51.5120 -50.0000
-179.2830 51.5190 -50.0000
-179.1340 51.5260 -50.0000
-178.9850 51.5340 -50.0000
-178.8360 51.5420 -50.0000
-178.6870 51.5510 -50.0000
-178.5380 51.5590 -50.0000
-178.3890 51.5690 -50.0000
-178.2400 51.5780 -50.0000
-178.0920 51.5880 -50.0000
-177.9430 51.5980 -50.0000
-177.7970 51.6110 -50.0000
-177.6510 51.6240 -50.0000
-177.5060 51.6370 -50.0000
-177.3600 51.6500 -50.0000
-177.2140 51.6630 -50.0000
-177.0690 51.6770 -50.0000
-176.9230 51.6910 -50.0000
-176.7780 51.7050 -50.0000
-176.6330 51.7190 -50.0000
-176.4870 51.7330 -50.0000
-176.3420 51.7470 -50.0000
-176.1960 51.7620 -50.0000
-176.0510 51.7760 -50.0000
-175.9060 51.7910 -50.0000
-175.7610 51.8050 -50.0000
-175.6150 51.8200 -50.0000
-175.4700 51.8350 -50.0000
-175.3250 51.8500 -50.0000
-175.1800 51.8650 -50.0000
-175.0290 51.8810 -50.0000
-174.8770 51.8970 -50.0000
-174.7260 51.9130 -50.0000
-174.5750 51.9290 -50.0000
-174.4230 51.9460 -50.0000
-174.2720 51.9620 -50.0000
-174.1210 51.9780 -50.0000
-173.9700 51.9950 -50.0000
-173.8180 52.0120 -50.0000
-173.6670 52.0280 -50.0000
-173.5160 52.0450 -50.0000
-173.3650 52.0620 -50.0000
-173.2210 52.0790 -50.0000
-173.0770 52.0970 -50.0000
-172.9330 52.1140 -50.0000
-172.7900 52.1320 -50.0000
-172.6460 52.1500 -50.0000
-172.5020 52.1680 -50.0000
-172.3590 52.1860 -50.0000
-172.2150 52.2050 -50.0000
-172.0720 52.2240 -50.0000
-171.9280 52.2430 -50.0000
-171.7850 52.2620 -50.0000
-171.6420 52.2810 -50.0000
-171.4990 52.3010 -50.0000
-171.3560 52.3210 -50.0000
-171.2110 52.3470 -50.0000
-171.0660 52.3720 -50.0000
-170.9220 52.3990 -50.0000
-170.7770 52.4250 -50.0000
-170.6330 52.4520 -50.0000
-170.4890 52.4790 -50.0000
-170.3450 52.5070 -50.0000
-170.2020 52.5350 -50.0000
-170.0590 52.5630 -50.0000
-169.9150 52.5920 -50.0000
-169.7720 52.6210 -50.0000
-169.6300 52.6500 -50.0000
-169.4870 52.6800 -50.0000
-169.3450 52.7100 -50.0000
-169.2080 52.7460 -50.0000
-169.0710 52.7820 -50.0000
-168.9340 52.8190 -50.0000
-168.7980 52.8550 -50.0000
-168.6620 52.8920 -50.0000
-168.5260 52.9300 -50.0000
-168.3900 52.9670 -50.0000
-168.2540 53.0050 -50.0000
-168.1190 53.0430 -50.0000
-167.9830 53.0810 -50.0000
-167.8480 53.1190 -50.0000
-167.7130 53.1580 -50.0000
-167.5780 53.1970 -50.0000
-167.4430 53.2360 -50.0000
-167.3090 53.2760 -50.0000
-167.1740 53.3150 -50.0000
-167.0390 53.3540 -50.0000
-166.9040 53.3930 -50.0000
-166.7690 53.4320 -50.0000
-166.6340 53.4710 -50.0000
-166.4980 53.5090 -50.0000
-166.3630 53.5480 -50.0000
-166.2350 53.5810 -50.0000
-166.1070 53.6150 -50.0000
-165.9790 53.6480 -50.0000
-165.8510 53.6810 -50.0000
-165.7230 53.7130 -50.0000
-165.5940 53.7460 -50.0000
-165.4660 53.7780 -50.0000
-165.3370 53.8100 -50.0000
-165.2080 53.8420 -50.0000
-191.7260 55.1930 -100.0000
-191.6000 55.1390 -100.0000
-191.4740 55.0840 -100.0000
-191.3480 55.0300 -100.0000
-191.2230 54.9750 -100.0000
-191.0970 54.9210 -100.0000
-190.9710 54.8660 -100.0000
-190.8450 54.8120 -100.0000
-190.7190 54.7580 -100.0000
-190.5930 54.7030 -100.0000
-190.4670 54.6490 -100.0000
-190.3410 54.5940 -100.0000
-190.2150 54.5400 -100.0000
-190.0900 54.4860 -100.0000
-189.9640 54.4310 -100.0000
-189.8380 54.3770 -100.0000
-189.7120 54.3220 -100.0000
-189.5860 54.2680 -100.0000
-189.4640 54.2140 -100.0000
-189.3420 54.1600 -100.0000
-189.2190 54.1050 -100.0000
-189.0970 54.0510 -100.0000
-188.9750 53.9970 -100.0000
-188.8520 53.9430 -100.0000
-188.7300 53.8890 -100.0000
-188.6070 53.8360 -100.0000
-188.4840 53.7820 -100.0000
-188.3610 53.7280 -100.0000
-188.2370 53.6750 -100.0000
